FileName,FileExt,DateModified,Size_KB,Size_GB,Source,Path,SimplePath,ParentPath,FileNameClean,FileType,year,month,UsiaDokumen,Size_MB,SizeCategory,Source_Class,Path_modified,Folder_Root,Subfolder_L2,Filename,Path_Class,Path_Anomali,Subfolder_L3,Subfolder_L4,Subfolder_L5,Subfolder_L6,Path_Uniform
0_IMG_0501 ts,jpg,2023-04-14 15:10:50.000000,522.99,0.0005,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\0_IMG_0501 ts.jpg,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\0_IMG_0501 ts.jpg,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,0 Img 0501 Ts,image,2023,4,menengah,0.510732421875,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/0_IMG_0501 ts.jpg,C:,Users,0_IMG_0501 ts.jpg,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
0_IMG_0501 ts_11zon,jpg,2023-04-14 15:11:52.000000,75.55,0.0001,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\0_IMG_0501 ts_11zon.jpg,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\0_IMG_0501 ts_11zon.jpg,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,0 Img 0501 Ts 11Zon,image,2023,4,menengah,0.073779296875,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/0_IMG_0501 ts_11zon.jpg,C:,Users,0_IMG_0501 ts_11zon.jpg,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
16 personalities 23 juli 2022,png,2022-07-23 21:51:06.000000,35.12,0.0,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\16 personalities 23 juli 2022.png,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\16 personalities 23 juli 2022.png,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,16 Personalities 23 Juli 2022,image,2022,7,menengah,0.034296875,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/16 personalities 23 juli 2022.png,C:,Users,16 personalities 23 juli 2022.png,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
2. Internship Application Form _AHA Centre,doc,2023-01-13 12:00:00.000000,278.0,0.0003,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\2. Internship Application Form _AHA Centre.doc,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\2. Internship Application Form _AHA Centre.doc,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,2 Internship Application Form Aha Centre,document,2023,1,menengah,0.271484375,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/2. Internship Application Form _AHA Centre.doc,C:,Users,2. Internship Application Form _AHA Centre.doc,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
474_Signed_Surat Rujukan a.n Fajri Ilham Mughni,pdf,2022-05-20 05:21:46.000000,132.96,0.0001,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\474_Signed_Surat Rujukan a.n Fajri Ilham Mughni.pdf,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\474_Signed_Surat Rujukan a.n Fajri Ilham Mughni.pdf,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,474 Signed Surat Rujukan An Fajri Ilham Mughni,document,2022,5,menengah,0.12984375,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/474_Signed_Surat Rujukan a.n Fajri Ilham Mughni.pdf,C:,Users,474_Signed_Surat Rujukan a.n Fajri Ilham Mughni.pdf,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
Akte kelahiran_page-0001,jpg,2022-12-24 15:43:18.000000,466.08,0.0004,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\Akte kelahiran_page-0001.jpg,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\Akte kelahiran_page-0001.jpg,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Akte Kelahiran Page 0001,image,2022,12,menengah,0.45515625,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/Akte kelahiran_page-0001.jpg,C:,Users,Akte kelahiran_page-0001.jpg,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
akun office,txt,2023-10-10 09:48:18.000000,0.12,0.0,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\akun office.txt,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\akun office.txt,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Akun Office,document,2023,10,menengah,0.0001171875,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/akun office.txt,C:,Users,akun office.txt,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
apresiasi beasiswa dato dan purnomo_Fajri,pdf,2022-10-10 14:26:56.000000,54.84,0.0001,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\apresiasi beasiswa dato dan purnomo_Fajri.pdf,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\apresiasi beasiswa dato dan purnomo_Fajri.pdf,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Apresiasi Beasiswa Dato Dan Purnomo Fajri,document,2022,10,menengah,0.0535546875,Kecil (<100KB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/apresiasi beasiswa dato dan purnomo_Fajri.pdf,C:,Users,apresiasi beasiswa dato dan purnomo_Fajri.pdf,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
BPJS Form,docx,2024-01-12 14:12:40.000000,350.65,0.0003,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\BPJS Form.docx,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\BPJS Form.docx,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Bpjs Form,document,2024,1,menengah,0.342431640625,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/BPJS Form.docx,C:,Users,BPJS Form.docx,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
BPJS Form_Fajri,pdf,2024-01-12 14:45:04.000000,517.08,0.0005,documents,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI\BPJS Form_Fajri.pdf,Users\ASUS\OneDrive\Documents\FOLDER FAJRI\BPJS Form_Fajri.pdf,C:\Users\ASUS\OneDrive\Documents\FOLDER FAJRI,Bpjs Form Fajri,document,2024,1,menengah,0.5049609375,Sedang (100KB–1MB),Lainnya,C:/Users/ASUS/OneDrive/Documents/FOLDER FAJRI/BPJS Form_Fajri.pdf,C:,Users,BPJS Form_Fajri.pdf,Lainnya,Yes,ASUS,OneDrive,Documents,FOLDER FAJRI,C:/Users/ASUS/OneDrive/Documents
