FileName,FileExt,DateModified,Size_KB,Size_GB,Source,Path,SimplePath,ParentPath
api-ms-win-core-file-l2-1-0,.dll,2024-11-21 19:18:00.354978,41.73,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-file-l2-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-file-l2-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-crt-private-l1-1-0,.dll,2024-11-21 19:17:59.986241,93.75,0.0001,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-private-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-private-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
pack200,.exe,2024-11-21 19:17:59.601897,33.21,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\pack200.exe,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\pack200.exe,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-crt-convert-l1-1-0,.dll,2024-11-21 19:17:59.313071,45.63,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-convert-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-convert-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
ktab,.exe,2024-11-21 19:17:59.044530,33.21,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\ktab.exe,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\ktab.exe,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-core-console-l1-2-0,.dll,2024-11-21 19:17:58.947911,41.64,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-console-l1-2-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-console-l1-2-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-core-processthreads-l1-1-0,.dll,2024-11-21 19:17:58.864723,41.73,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-processthreads-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-processthreads-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
freetype,.dll,2024-11-21 19:17:58.786533,545.71,0.0005,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\freetype.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\freetype.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-core-processthreads-l1-1-1,.dll,2024-11-21 19:17:58.685393,41.75,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-processthreads-l1-1-1.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-processthreads-l1-1-1.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
rmi,.dll,2024-11-21 19:17:58.599562,30.71,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\rmi.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\rmi.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-core-heap-l1-1-0,.dll,2024-11-21 19:17:58.512608,41.75,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-heap-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-heap-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
keytool,.exe,2024-11-21 19:17:58.414509,33.21,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\keytool.exe,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\keytool.exe,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-crt-process-l1-1-0,.dll,2024-11-21 19:17:58.317605,41.63,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-process-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-process-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
javaaccessbridge,.dll,2024-11-21 19:17:58.188121,163.21,0.0002,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\javaaccessbridge.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\javaaccessbridge.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
lcms,.dll,2024-11-21 19:17:58.032898,276.71,0.0003,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\lcms.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\lcms.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-core-errorhandling-l1-1-0,.dll,2024-11-21 19:17:57.832710,41.73,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-errorhandling-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-errorhandling-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
